year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
2000,,Elisabeth Subrin,1964,Boston,Mass.,Brooklyn,new York,,,,,,,,,
2000,,Josiah McElheny,1966,Boston,mass.,Seattle,washington,,,,,,,,,
2000,,Sarah Sze,1969,Boston,Mass.,Brooklyn,New York,,,,,,,,,
2006,,Dorothy Iannone,1932,boston,massachusetts,berlin,germany,,,,"Suck My Breasts I Am Your Most Beautiful Mother, 1972. Acrylic and canvas collage on canvas, 74 13/16 x 59 1/16 in. (190 x 150 cm). Private collection",,,,,
2008,,DJ Olive,1961,boston,ma,new york,new york,,,,,,,,,
2010,,Jesse Aron Green,1979,Boston,Massachusetts;,Boston,Massachusetts,Los Angeles,California,,,,,,,
2010,,Kerry Tribe,1973,Boston,Massachusetts;,Los Angeles,California,and Berlin,germany,,,,,,,
2010,,Lorraine O’Grady,1934,Boston,Massachusetts;,New York,New York,,,,,,,,,
2010,,R.H. Quaytman,1961,Boston,Massachusetts;,New York,New York,,,,,,,,,
2012,,Frederick Wiseman,1930,boston,ma,boston,ma,,,,,,,,,
2012,,Laura Poitras,1964,boston,ma,new york,new york,,,,,,,,,
2012,,Liz Deschenes,1966,boston,ma,new york,ny,,,,,,,,,
2014,,Andrew Bujalski,1977,Boston,MA,Austin,TX,,,,,,,,,
2014,,Julie Ault,1957,Boston,MA,Joshua Tree,CA,New York,NY,,,,,,,
2014,,Susan Howe,1937,Boston,MA,Guilford,CT,,,,,,,,,
,,David Thorne,1960,boston,ma,los angeles,california,,,,,,,,,
2000,,John Currin,1962,Boulder,Colo.,New York,New York,,,,,,,,,
2012,,Cameron Crawford,1983,boulder,colorado,new york,ny,,,,,,,,,
2006,,Marie Losier,1972,boulogne,france,new york,new york,,,,"Still from The Ontological Cowboy, 2005. 16mm film, black-and-white and color, sound; 13 min.",,,,,
2014,,Diego Leclery,1978,Boulogne-Billancourt,France,New York,NY,,,,,,,,,
2012,,LaToya Ruby Frazier,1982,braddock,pennsylvania,new jersey,new jersey,,,,,,,,,
2014,,Jonn Herschend,1967,Branson,MO,San Francisco,CA,,,,,,,,,
1973,,Milton Resnick,1917,bratslav,russia,Rifton,New York,,,,,,,,,
2006,,Francesco Vezzoli,1971,brescia,italy,milan,italy,,,,"Still from Trailer for a Remake of Gore Vidal’s “Caligula,” 2005. 35mm film transferred to video, color, sound; 5:35 min. Castello di Rivoli Museo d’Arte Contemporanea",,,,,
2014,,Darren Bader,1978,Bridgeport,CT,New York,NY,,,,,,,,,
2014,,Jeff Gibson,1958,Brisbane,Australia,New York,NY,,,,,,,,,
1977,,woody vasulka,,brno,czechoslovakia,buffalo,new york,,,,,,,,,
1973,,Michael Goldberg,1924,bronx,new york,New York,New York,,,,,,,,,
1973,,Ronnie Landfield,1947,bronx,new york,New York,New York,,,,,,,,,
1977,,vito acconci,1940,bronx,new york,new york,new york,,,,,,,,,
1981,,vito acconci,1940,bronx,new york,new york,new york,,,,,,,,,
1983,,ken kobland,1946,bronx,new york,new york,new york,,,,,,,,,
1991,,vito acconci,1940,bronx,new york,new york,new york,,,,,,,,,
1993,,cyrille phipps,1965,bronx,new york,new york,new york,,,,,,,,,
1993,,fred wilson,1954,bronx,new york,new york,new york,,,,,,,,,
