year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
2000,,Vernon Fisher,1943,Fort Worth,texas,fort worth,texas,,,,,,,,,
2012,,K8 Hardy,1977,fort worth,texas,brooklyn,new york,,,,,,,,,
1993,,janine antoni,1964,freeport,bahamas,new york,new york,,,,,,,,,
2014,,taisha paggett,1976,Fresno,CA,Chicago,IL,and Los Angeles,CA,,,,,,,
2014,,Travis Jeppesen,1979,Ft. Lauderdale,FL,London,England,and Berlin,Germany,,,,,,,
2000,,Cai Guo-Qiang,1957,Fujian Province,China,New York,New York,,,,,,,,,
2000,,Yukinori Yanagi,1959,Fukuoka,Japan,New York,New York,,,,,,,,,
2014,,Ei Arakawa ,1977,Fukushima,Japan,New York,NY,,,, Hawaiian Presence (Hawaii),2014,"Wire, fabric, straw, and plastic,",,,Collection of the artist
1981,,christo,1935,gabrovo,bulgaria,new york,new york,,,,,,,,,
2000,,Chris Verene,1969,Galesburg,Ill.,Atlanta,georgia,,,,,,,,,
2008,,Stephen Prina,1954,galesburg,illinois,cambridge,ma,los angeles,california,,,,,,,
1983,,jenny holzer,1950,gallipolis,ohio,new york,new york,,,,,,,,,
1981,,hollis sigler,1948,gary,indiana,chicago,illinois,,,,,,,,,
1983,,sandy moore,1951,gastonia,north carolina,new york,new york,,,,,,,,,
2012,,Joanna Malinowska,1972,gdynia,poland,new york,new york,,,,,,,,,
2008,,Carol Bove,1971,geneva,switzerland,new York,new York,,,,,,,,,
2000,,Vanessa Beecroft,1969,Genoa,Italy,New York,New York,,,,,,,,,
2006,,Martha Colburn,1971,gettysburg,pennsylvania,new york,new york,amsterdam,netherlands,,,,,,,
1983,,cindy sherman,1954,glen ridge,new jersey,new york,new york,,,,,,,,,
1991,,cindy sherman,1954,glen ridge,new jersey,new york,new york,,,,,,,,,
1993,,cindy sherman,1954,glen ridge,new jersey,new york,new york,,,,,,,,,
1983,,kenneth shorr,1952,goodyear,arizona,chicago,illinois,,,,,,,,,
1981,,james rosenquist,1933,grand forks,north dekota,new york,new york,aripeka,florida,,,,,,,
2014,,Dona Nelson,1947,Grand Island,NE,Lansdale,PA,and New York,NY,,,,,,,
2006,,Chris Vasell,1974,grand rapids,michigan,los angeles,california,,,,"Cephalic Isolation, 2005. Acrylic on canvas, 82 x 68 in. (208.3 x 172.7 cm). Collection of Dean Valentine and Amy Adelson; courtesy Blum & Poe, Los Angeles",,,,,
1981,,scott burton,1939,greensboro,alabama,new york,new york,,,,,,,,,
2006,,Taylor Mead,1924,grosse point,michigan,new york,new york,,,,"Taylor Mead, photographed by Bryce Lankard",,,,,
1973,,Alfred Jensen,1903,guatemala city,guatamala,Glenridge,New Jersey,,,,,,,,,
1977,,alfred j. jensen,1903,guatemala city,guatemala,glen ridge,new jersey,,,,,,,,,
1979,,william beckley,1946,hamburg,pennsylvania,new york,new york,,,,,,,,,
1979,,roger brown,1941,hamilton,alabama,chicago,illinois,,,,,,,,,
1993,,greg shepard,1956,hamilton ontario,canada,sausalito,california,,,,,,,,,
2014,,Paul P.,1977,Hamilton Ontario,Canada,New York,NY,and Paris,France,,,,,,,
2014,,Matthew Deleget,1972,Hammond,IN,Brooklyn,NY,,,,,,,,,
1979,,rita myers,1947,hammonton,new jersey,new york,new york,,,,,,,,,
2010,,Richard Aldrich,1975,Hampton,Virginia;,Brooklyn,New York,,,,,,,,,
1993,,Trinh T. Minh-ha,1952,hanoi,vietnam,berkeley,california,,,,,,,,,
1979,,alice aycock,1946,harrisburg,pennsylvania,new york,new york,,,,,,,,,
1981,,alice aycock,1946,harrisburg,pennsylvania,new york,new york,,,,,,,,,
1979,,sol leWitt,1928,hartford,connecticut,new york,new york,,,,,,,,,
1991,,jeanne dunning,1960,hartford,connecticut,chicago,illinois,,,,,,,,,
2008,,James Welling,1951,hartford,connecticut,los angeles,california,,,,,,,,,
2014,,Sheila Hicks,1934,Hastings,NE,New York,NY,and Paris,France,,,,,,,
1991,,carlos alfonzo,1950,havana,cuba,miami,florida,,,,,,,,,
2006,,Guillermo Calzadilla,1971,havana,cuba,san juan,puerto rico,,,,,,,,,
2014,,Trevor Shimizu,1978,Hawaii;,Hawaii,New York,NY,,,,,,,,,
2014,,Sherrie Levine,1947,Hazelton,PA;,New York,NY,,,,,,,,,
2008,,Sherrie Levine,1947,hazleton,pennsylvania,santa fe,new mexico,new york,new york,,,,,,,
2014,,Alma Allen,1970,Heber City,UT,Joshua Tree,CA,,,,Untitled,2013,"Marble, oak base",25x20x14,,Collection of the artist
1983,,ericka beckman,1951,hempstead,new york,new york,ne wyork,,,,,,,,,
1973,,Alan Shields,1944,herington,kansas,New York,New York,,,,,,,,,
2008,,kembra pfahler,1961,hermosa beach,california,new york,new york,,,,,,,,,
2000,,Errol Morris,1948,Hewitt,N.Y.,Cambridge,Mass.,,,,,,,,,
1973,,Bernard Rosenthal,1914,highland park,illinois,New York,New York,,,,,,,,,
1973,,Joan Snyder,1940,highland park,new jersey,New York,New York,,,,,,,,,
1981,,joan snyder,1940,highland park,new jersey,new york,new york,martin creek,pennsylvania,,,,,,,
2014,,Alex Jovanovich,1975,Hobart,Indiana,Bronx,NY,,,,,,,,,
1981,,richard shaw,1941,hollywood,california,fairfax,california,,,,,,,,,
1991,,david mcDermott,1952,hollywood,california,new york,new york,,,,,,,,,
1993,,barbara hammer,1939,hollywood,california,san francisco,california,,,,,,,,,
1993,,janice tanaka,1940,hollywood,california,los angeles,california,,,,,,,,,
2006,,T.Kelly Mason,1964,hollywood,california,los angeles,california,,,,"Production still from JUMP, 2004. 16mm film, color, sound; 16 min.",,,,,
2008,,Julia Meltzer,1968,hollywood,california,los angeles,california,,,,,,,,,
2012,,John Knight,1945,hollywood,ca,los Angeles,ca,,,,,,,,,
1977,,william wegman,1943,holyoke,massachusetts,new york,new york,,,,,,,,,
1981,,william wegman,1942,holyoke,massachusetts,new york,new york,,,,,,,,,
1993,,simon leung,1964,hong kong,hong kong,brooklyn,new york,,,,,,,,,
2006,,Paul Chan,1973,hong kong,hong kong,new york,new york,,,,,,,,,
2000,,Paul Pfeiffer,1966,Honolulu,hawaii,New York,New York,,,,,,,,,
2014,,Doug Ischar,1948,Honolulu,Hawaii,Chicago,IL,and Los Angeles,CA,,,,,,,
2014,,Rebecca Morris,1969,Honolulu,Hawaii,Los Angeles,CA,,,,,,,,,
1983,,melissa miller,1951,houston,texas,austin,texas,,,,,,,,,
2006,,Dawolu Jabari Anderson,1973,houston,texas,houston,texas,,,,,,,,,
2006,,Jamal Cyrus,1973,houston,texas,houston,texas,,,,,,,,,
2006,,Robert Pruitt,1975,houston,texas,houston,texas,,,,"This Do in Remembrance of Me, 2005. Wood communion table, two iPod Minis, mixer, hair, wine, and various altar offerings, dimensions variable. Collection of the artist; courtesy Clementine Gallery, New York",,,,,
2012,,Jason Moran,1975,houston,texas,new york ,new york,,,,,,,,,
2012,,Mayo Thompson,1944,houston,texas,california,california,,,,,,,,,
2014,,Pauline Oliveros,1932,Houston,TX,Kingston,NY,,,,,,,,,
2010,,Tam Tran,1986,Hue,Vietnam;,Memphis,Tennessee,,,,,,,,,
2014,,Angie Keefer,1977,Huntsville,AL,Hudson,NY,,,,,,,,,
1991,,rebecca purdum,1959,idaho falls,idaho,new york,new york,,,,,,,,,
1979,,david haxton,1943,indianapolis,indiana,new york,new york,,,,,,,,,
1981,,david haxton,1943,indianapolis,indiana,new york,new york,,,,,,,,,
1983,,david haxton,1943,indianapolis,indiana,new york,new york,,,,,,,,,
2000,,Ben Benjamin,1970,Indianapolis,indiana,San Francisco,california,,,,,,,,,
2000,,Carl and Karen Pope,1961,Indianapolis,indiana,Indianapolis,indiana,Chapel Hill,N.C.,,,,,,,
2000,,Kurt Kauper,1966,Indianapolis,indiana,Brooklyn,new york,,,,,,,,,
2006,,JP Munro,1975,inglewood,california,los angeles,california,,,,"The Vision of St. Eustace, Master Hunter, 2005. Oil on linen, 60 x 48 in. (152 x 121.9 cm). Collection of Sadie Coles HQ, London",,,,,
2012,,Vincent Fecteau,1969,islip,ny,san francisco,ca,,,,,,,,,
2000,,Michael Joo,1966,Ithaca,N.Y.,New York,new york,,,,,,,,,
2014,,David Foster Wallace,1962,Ithaca,NY,Claremont,CA,,,2008,,,,,,
1993,,suzanne mcClelland,1959,jacksonville,florida,new york,new york,,,,,,,,,
2014,,Suzanne McClelland,1959,Jacksonville,FL,New York,NY,,,,,,,,,
2000,,Dawoud Bey,1953,Jamaica,Queens,Chicago,il,,,,,,,,,
2012,,Jerome Hiler,1943,jamaica,new york,san francisco,ca,,,,,,,,,
1981,,frank gillete,1941,jersey city,new jersey,new york,new york,,,,,,,,,
1993,,john kelly,1954,jersey city,new jersey,new york,new york,,,,,,,,,
2006,,Troy Brauntuch,1954,jersey city,new jersey,austin,texas,,,,,,,,,
1981,,buky schwartz,1932,jerusalem,isreal,new york,new york,,,,,,,,,
2008,,Omer Fast,1972,jerusalem,Israel,berlin,germany,,,,,,,,,
2014,,Uri Aran,1977,Jerusalem,Israel,New York,NY,,,,Untitled,2014,Mixed media on paper,14 1/2 × 11 1/4,,Collection of the artist
2000,,Jem Cohen,1962,Kabul,Afghanistan,Brooklyn,New York,,,,,,,,,
1981,,robert snyder,1946,kalamazoo,michigan,chicago,illinois,,,,,,,,,
1983,,bob snyder,1946,kalamazoo,michigan,chicago,illinois,,,,,,,,,
2010,,Aurel Schmidt,1982,Kamloops,British Columbia;,New York,New York,,,,,,,,,
1977,,nicholas africano,1948,kankakee,illinois,normal ,illionis,,,,,,,,,
1979,,stan brakhage,1933,kansas city,missouri,rollinsville,colorado,,,,,,,,,
1981,,stan brakhage,1933,kansas city,missouri,rollinssville,colorado,,,,,,,,,
2010,,Huma Bhabha,1962,Karachi,Pakistan;,Poughkeepsie,New York,,,,,,,,,
1979,,lucas samaras,1936,kastoria macedonia,greece,new york,new york,,,,,,,,,
1977,,richard estes,1936,keewanee,illinois,new york,new york,,,,,,,,,
1981,,rackstraw downes,1939,kent,england,new york,new york,,,,,,,,,
2008,,Ellen Harvey,1967,kent,england,new york,new york,,,,,,,,,
1973,,Alexander Liberman,1912,kiev,ukraine,New York,New York,,,,,,,,,
2014,,Dave McKenzie,1977,Kingston,Jamaica,Brooklyn,NY,,,,,,,,,
2014,,Elijah Burgher,1978,Kingston,NY,Chicago,IL,,,,,,,,,
2012,,Albert Oehlen,1954,krefeld,germany,buhler and segovia,germany,,,,,,,,,
1983,,keith haring,1958,kutztown,pennsylvania,new york,new york,,,,,,,,,
1991,,keith haring,1958,kutztown,pennsylvania,new york,new york,,,,,,,,,
2008,,Corey McCorkle,1969,la crosse,wisconsin,new york,new york,,,,,,,,,
1993,,byron kim,1961,la jolla,california,new york, new york,,,,,,,,,
1993,,james luna,1950,la jolla indian reservation,california,la jolla indian reservation,california,,,,,,,,,
2006,,Deva Graf,1974,lafayette,indiana,arizona,arizona,,,,"Untitled Figure, 2003. T-shirt and mixed media. 60 x 8 x 8 in. (152.4 x 20.3 x 20.3 cm). Collection of Lorelei Stewart and Andreas Fischer",,,,,
1983,,italo scanga,1932,lago,italy,la jolla,california,,,,,,,,,
1973,,Lynda Benglis,1941,lake charles,louisiana,new york,new york,,,,,,,,,
1977,,lynda benglis,1941,lake charles,louisiana,new york,new york,,,,,,,,,
1981,,lynda benglis,1941,lake charles,louisiana,new york,new york,,,,,,,,,
2014,,Pam Lins,,Lake Forest,IL,Brooklyn,NY,,,,,,,,,
2014,,Fred Lonidier,1942,Lakeview,OR,San Diego,CA,,,,,,,,,
2006,,Sturtevant,1930,lakewood,ohio,paris,france,,,,"Push & Shove, 2005 (installation view, Perry Rubenstein Gallery, New York)",,,,,
1981,,steve keister,1949,lancaster,pennsylvania,new york,new york,,,,,,,,,
2006,,Doug Henry,1954,las vegas,nevada,los angeles,california,,,,"Stills from Eatin’ Pizza v1.0, 2004. Video, color, sound; running time variable",,,,,
1973,,Edgar Tolson,1904,lee city,kentucky,campton,kentucky,,,,,,,,,
2010,,Thomas Houseago,1972,Leeds,England;,Los Angeles,California,,,,,,,,,
2006,,Dan Colen,1979,leonia,new jersey,new york,new york,,,,,,,,,
1991,,Cy Twombly,1928,lexington ,virginia,New York,New York,,,,,,,,,
1991,,sally mann,1951,lexington ,virginia,lexington,virginia,,,,,,,,,
1993,,zoe leonard,1961,Liberty,new york,new york,new york,,,,,,,,,
2014,,Zoe Leonard,1961,Liberty,NY,New York,NY,,,,,,,,,
2006,,Josephine Meckseper,1964,lilienthal,germany,new york,new york,,,,"The Complete History of Postcontemporary Art, 2005. Mixed media in display window, 63 x 98½ x 23 in.(160 x 250.2 x 60 cm). Collection of the artist; courtesy Elizabeth Dee, New York",,,,,
2010,,Josephine Meckseper,1964,Lilienthal,Germany;,New York,New York,,,,,,,,,
2008,,William Cordova,1971,lima,peru,houston,texas,miami,florida,,,,,,,
1979,,jonas mekas,1922,lithuania,lithuania,new york,new york,,,,,,,,,
2014,,Lucien Castaing-Taylor,1966,Liverpool UK,UK,Boston,MA,and Paris,France,,,,,,,
1973,,Mary Frank,1933,london,england,New York,New York,,,,,,,,,
1979,,mary frank,1933,london,england,new york,new york,,,,,,,,,
1981,,judy pfaff,1946,london,england,new york,new york,,,,,,,,,
1983,,john coplans,1920,london,england,new york,new york,,,,,,,,,
1991,,adam fuss,1961,london,england,new york,new york,,,,,,,,,
1991,,john coplans,1920,london,england,new york,new york,,,,,,,,,
2000,,John Coplans,1920,London,england,new york,new york,,,,,,,,,
2006,,Adam McEwen,1965,london,england,new york,new york,,,,"Untitled (Jeff), 2004. Chromogenic color print, 52¾ x 37 in. (134 x 94 cm). Private collection; courtesy Nicole Klagsbrun Gallery, New York",,,,,
2008,,Walead Beshty,1976,london,england,Los Angeles,california,,,,,,,,,
2012,,Peter Rehberg,1968,london,england,vienna,austria,,,,,,,,,
2006,,Carolina Caycedo,1978,london ,england,new york,new york,san juan,puerto rico,,,,,,,
1977,,barry le va,1941,long beach,california,new york,new york,,,,,,,,,
1977,,jennifer bartlett,1941,long beach,california,new york,new york,,,,,,,,,
1979,,jennifer bartlett,1941,long beach,california,new york,new york,,,,,,,,,
1981,,jennifer bartlett,1941,long beach,california,new york,new york,,,,,,,,,
1991,,ed moses,1926,long beach,california,los angeles,california,,,,,,,,,
1991,,jennifer bartlett,1941,long beach,california,new york,new york,,,,,,,,,
1991,,larry johnson,1959,long beach,california,los angeles,california,,,,,,,,,
2008,,Charles Long,1958,long branch,new jersey,los angeles,california,,,,,,,,,
1979,,john sanborn,1954,long island,new york,new york,new york,,,,,,,,,
1973,,H. C. Westermann,1922,los angeles,california,Brookfield Center,Connecticut,,,,,,,,,
1977,,h.c. wastermann,1922,los angeles,california,brookfield center,connecticut,,,,,,,,,
1977,,ilene segalove,1950,los angeles,california,santa monica,california,,,,,,,,,
1979,,alexis smith,1949,los angeles,california,venice,california,,,,,,,,,
1979,,craig kauffman,1932,los angeles,california,los angeles,california,,,,,,,,,
1979,,h.c. wastermann,1942,los angeles,california,brookfield center,connecticut,,,,,,,,,
1979,,kenneth price,1935,los angeles,california,taos,new mexico,,,,,,,,,
1979,,patrick hogan,1947,los angeles,california,venice,california,,,,,,,,,
1981,,alexis smith,1949,los angeles,california,venice,california,,,,,,,,,
1981,,jedd garet,1955,los angeles,california,new york,new york,,,,,,,,,
1981,,kenneth price,1935,los angeles,california,taos,new mexico,,,,,,,,,
1981,,leland rice,1940,los angeles,california,los angeles,california,,,,,,,,,
1981,,peter lodato,1946,los angeles,california,los angeles,california,,,,,,,,,
1981,,richard misrach,1949,los angeles,california,berkeley,california,,,,,,,,,
1981,,sally shapiro,1947,los angeles,california,new york,new york,,,,,,,,,
1983,,ellen brooks,1946,los angeles,california,san francisco,california,new york,new york,,,,,,,
1983,,george rodart,1943,los angeles,california,venice,california,,,,,,,,,
1991,,richard misrach,1949,los angeles,california,berkeley,california,,,,,,,,,
1993,,alison saar,1956,los angeles,california,brooklyn,new york,,,,,,,,,
1993,,camille billops,1933,los angeles,california,new york,new york,,,,,,,,,
1993,,Daniel j. martinez,1957,los angeles,california,los angeles,california,,,,,,,,,
1993,,jeanne c. finley,1955,los angeles,california,san francisco,california,,,,,,,,,
1993,,lari pittman,1952,los angeles,california,los angeles,california,,,,,,,,,
1993,,michael joaquin grey,1961,los angeles,california,new york,new york,,,,,,,,,
1993,,roddy bogawa,1962,los angeles,california,new york,new york,,,,,,,,,
2006,,Anne Collier,1970,los angeles,california,new york,new york,,,,,,,,,
2006,,Cameron Jamie,1969,los angeles,california,paris,france,,,,"Study for Kranky Klaus, 2002. Gelatin silver print, 10¼ x 14 in. (26 x 35.6 cm). Collection of the artist; courtesy Bernier/Eliades Gallery, Athens",,,,,
2006,,Christopher Williams,1965,los angeles,california,los angeles,california,,,,"Kiev MC Arsat (Zodiak-8) 30mm f3.5, 1:3.5, Product Aperture f/3.5, Serial Number 870701, Medium Format Camera Lens, Douglas M. Parker Studio, Glendale, California. August 4, 2005, 2005. Black-and-white fiber print, 16 x 20 in. (40.6 x 50.8 cm). Collection of the artist; courtesy David Zwirner, New York",,,,,
2006,,Hannah Greely,1979,los angeles,california,los angeles,california,,,,"Silencer, 2002. Urethane rubber, nylon. 36x 24 x 18 in. (91.4 x 61 x 45.7 cm). Colection of Dean Valentine and Amy Adelson",,,,,
2006,,Mark & Tiravanija	Rirkrit	DiSuvero,1969,los angeles,california,paris,france,,,,"Artists’ Tower for Peace, 1966. Steel and mixed media, 55 ft. (16.8 m). Installed Los Angeles",,,,,
2006,,Mark Bradford,1961,los angeles,california,los angeles,california,,,,,,,,,
2006,,Monica Majoli,1963,los angeles,california,los angeles,california,,,,"Hanging Rubberman #3, 2004. Watercolor and gouache on paper, 51 x 96 in. (129.5 x 243.8 cm). The Museum of Modern Art, New York, The Judith Rothschild Foundation Contemporary Drawings Collection",,,,,
2008,,Daniel Joseph Martinez,1957,los angeles,ca,los angeles,california,,,,,,,,,
2008,,Edgar Arceneaux,1972,Los Angeles,ca,Los Angeles,California,,,,,,,,,
2008,,Eduardo Sarabia,1976,los angeles,california,guadalajara,mexico,berlin,germany,,,,,,,
2008,,Mario Ybarra Jr.,1973,los angeles,california,los angeles,california,,,,,,,,,
2008,,Mika Tajima,1975,los angeles,california,new york,new york,,,,,,,,,
2008,,Rashawn Griffin,1980,los angeles,ca,new york,new york,,,,,,,,,
2008,,Ry Rocklen,1978,los angeles,california,los angeles,california,,,,,,,,,
2010,,Daniel McDonald,1971,Los Angeles,California;,New York,New York,,,,,,,,,
2010,,Hannah Greely,1979,Los Angeles,California;,Los Angeles,California,,,,,,,,,
2010,,Jeffrey Inaba,1962,Los Angeles,California;,New York,New York,,,,,,,,,
2010,,Michael Asher,1943,Los Angeles,California;,Los Angeles,California,,,,,,,,,
2012,,Sam Lewitt,1981,Los Angeles,ca,new york,ny,,,,,,,,,
2014,,Carol Jackson,1962,Los Angeles,CA,Chicago,IL,,,,,,,,,
2014,,Catherine Sullivan,1968,Los Angeles,CA;,Chicago,IL,,,,,,,,,
2014,,Channa Horwitz,1932,Los Angeles,CA,Los Angeles,CA,,,2013,,,,,,
2014,,Joel Otterson,1959,Los Angeles,CA,Los Angeles,CA,,,,,,,,,
2014,,Tony Lewis,1986,Los Angeles,CA,Chicago,IL,,,,,,,,,
2014,,Molly Zuckerman-Hartung,1975,Los Gatos,CA,Chicago,IL,,,,,,,,,
2000,,John F. Simon Jr.,1963,Louisiana,Louisiana,New York,New York,,,,,,,,,
2000,,James Drake,1946,Lubbock,texas,New York,new york,El Paso,texas,,,,,,,
2000,,Luis Camnitzer,1937,Lübeck,Germany,Great Neck,N.Y.,,,,,,,,,
2014,,Kevin Beasley,1985,Lynchburg,VA,New York,NY,,,,,,,,,
2006,,Natalie Jeremijenko,1966,mackay,australia,new york,new york,,,,"Goosing_ 7714: a folorn leda [robotic goose 5.6] piloted by humans ashore experiences social rejection from her biological counterparts from OOZ Goose translation database, February 15, 2004. Robotic goose, goose control system, uncaged feral geese in urban setting, and database of annotated audio and video clips, using php scripting, MySQL database on Apache webserver, dimensions variable. Collection De Verbeelding art landscape nature, the Netherlands",,,,,
1993,,Sadie Benning,1973,madison,wisconsin,buffalo,new york,,,,,,,,,
1973,,John Mason,1927,Madrid,spain,Los Angeles,California,,,,,,,,,
2000,,Inigo Manglano-Ovalle,1961,Madrid,spain,Chicago,il,,,,,,,,,
2014,,John Mason,1927,Madrid,spain,Los Angeles,CA,,,,,,,,,
2014,,Charline von Heyl,1960,Mainz,Germany,New York,NY,,,,,,,,,
1977,,agnes martin,1912,"maklin, saskatchewan",canada,cuba,new mexico,,,,,,,,,
1973,,Frank Stella,1936,malden,massachusetts,new york,new york,,,,,,,,,
1979,,frank stella,1936,malden,massachusetts,new york,new york,,,,,,,,,
1983,,frank stella,1936,malden,massachusetts,new york,new york,,,,,,,,,
1991,,Frank Stella,1936,malden,massachusetts,new york,new york,,,,,,,,,
1973,,Keith Sonnier,1941,mamou,louisiana,New York,New York,,,,,,,,,
1977,,keith sonnier,1941,mamou,louisiana,new york,new york,,,,,,,,,
2012,,Sarah Michelson,1964,manchester,england,brooklyn,new york,,,,,,,,,
2014,,Miljohn Ruperto,1971,Manila,Philippines,Los Angeles,CA,,,,,,,,,
2008,,Kevin Jerome Everson,1965,mansfield,ohio,charlottesville,virginia,,,,,,,,,
2012,,Kevin Jerome Everson,1965,mansfield,ohio,charlottesville,virginia,,,,,,,,,
1977,,david true,1942,marietta,ohio,new york,new york,,,,,,,,,
2010,,Scott Short,1964,Marion,Ohio;,Chicago,Illinois,,,,,,,,,
2012,,Luther Price,1962,marlboro,ma,revere,ma,,,,,,,,,
1977,,dennis oppenheim,1938,mason city,washington,new york,new york,,,,,,,,,
1981,,dennis oppenheim,1938,mason city,washington,new york,new york,,,,,,,,,
2014,,Gaylen Gerber,1955,McAllen,TX;,Chicago,IL,,,,,,,,,
1977,,duan michals,1932,mckeesport,pennsylvania,new york ,new york,,,,,,,,,
1981,,duane michals,1932,mcKeesport,pennsylvania,new york,new york,,,,,,,,,
1981,,richard thompson,1945,McMinnville,oregon,albuquerque,new mexico,,,,,,,,,
1979,,bruce conner,1933,mcPherson,kansas,san francisco,california,,,,,,,,,
1983,,bruce conner,1933,mcPherson,kansas,san francisco,california,,,,,,,,,
1979,,christa maiwald,1949,media,pennsylvania,new york,new york,,,,,,,,,
2014,,Philip Vanderhyden,1978,Menasha,WI,New York,NY,,,,,,,,,
2006,,Rudolf Stingel,1956,merano,italy,new york ,new york,,,,"Untitled (After Sam), 2005. Oil on canvas, 15 x 20½ in. (38 x 52 cm). Private collection; courtesy Galleria Massimo de Carlo, Milan, and Paula Cooper Gallery, New York",,,,,
2010,,Verne Dawson,1961,Meridianville,Alabama;,Saluda,North Carolina,New York,New York,,,,,,,
1981,,wayne thiebaud,1920,mesa,arizona,sacramento,california,san francisco,california,,,,,,,
2012,,Richard Hawkins,1961,mexia,texas,los Angeles,ca,,,,,,,,,
2000,,Suzan Frecon,1941,Mexico,mexico,New York,new york,,,,,,,,,
2008,,Natalia Almada,1974,mexico,mexico,mexico city,mexico,new york,new york,,,,,,,
2010,,Suzan Frecon,1941,Mexico,Pennsylvania;,New York,New York,,,,,,,,,
1979,,edda renouf,1943,mexico city,mexico,new york,new york,,,,,,,,,
1979,,manuel de landa,1952,mexico city,mexico,new york,new york,,,,,,,,,
1979,,robert graham,1938,mexico city,mexico,venice,california,,,,,,,,,
1993,,guillermo gomez-pena,1955,mexico city,mexico,new york,new york,,,,,,,,,
1991,,philip smith,1952,miami,florida,new york,new york,miami,florida,,,,,,,
1993,,hillary leone,1952,miami,florida,new york,new york,,,,,,,,,
2000,,Mark Amerika,1960,Miami,fl,Boulder,Colo.,,,,,,,,,
2008,,Bert Rodriguez,1975,miami,florida,miami,florida,,,,,,,,,
2008,,Roe Ethridge,1969,miami,Florida;,new york,new york,,,,,,,,,
2010,,Stephanie Sinclair,1973,Miami,Florida;,Brooklyn,New York,,,,,,,,,
2012,,Kelly Reichardt,1964,miami,fl,new york,new york,,,,,,,,,
2014,,A.L. Steiner,1967,Miami,FL,Los Angeles,CA,,,,,,,,,
1991,,jim shaw,1952,midland,michigan,los angeles,california,,,,,,,,,
1983,,shigeko kubota,1937,miigata,japan,new york,new york,,,,,,,,,
1979,,james benning,1943,milwaukee,wisconsin,del mar,california,,,,,,,,,
1981,,arthur ollman,1947,milwaukee,wisconsin,oakland, california,,,,,,,,,
1981,,james benning,1942,milwaukee,wisconsin,new york,new york,,,,,,,,,
1983,,james benning,1942,milwaukee,wisconsin,new york,new york,,,,,,,,,
2000,,Sadie Benning,1973,Milwaukee,wisconsin,Chicago,ill,,,,,,,,,
2006,,James Benning,1942,milwaukee,wisconsin,val verde,california,,,,,,,,,
2010,,Lesley Vance,1977,Milwaukee,Wisconsin;,Los Angeles,California,,,,,,,,,
2014,,Paul Druecke,1964,Milwaukee,WI,Milwaukee,WI,,,,,,,,,
1981,,bill jensen,1945,minneapolis,minnesota,new york,new york,,,,,,,,,
2000,,Joseph Havel,1954,Minneapolis,minnesota,Houston,texas,,,,,,,,,
2000,,Laurie Reid,1964,Minneapolis,minnisota,Berkeley,Calif.,,,,,,,,,
2000,,Rolf Belgum,1965,Minneapolis,minnisota,Minneapolis,minnisota,,,,,,,,,
1977,,chuck close,1940,monroe,washington,new york,new york,,,,,,,,,
1979,,chuck close,1940,monroe,washington,new york,new york,,,,,,,,,
1991,,chuck close,1940,monroe,washington,new york,new york,,,,,,,,,
2000,,Robin Bernat,1965,Monroe,Ill.,Atlanta,georgia,,,,,,,,,
1993,,cheryle dunye,1966,monrovia,liberia,philadelphia,pennsylvania,,,,,,,,,
2010,,Babette Mangolte,1941,Montmorot (Jura),France;,New York,New York,,,,,,,,,
1979,,philip guston,1913,montreal,canada,woodstock,new york,,,,,,,,,
2012,,Matt Hoyt,1975,mount kisco,new york,yorktown heights,ny,,,,,,,,,
1979,,dennis evans,1946,moxee,washington,seattle,washington,,,,,,,,,
2012,,Werner Herzog,1942,munich,germany,los Angeles,ca,,,,,,,,,
1977,,robert ryman,1930,nashville,tennesee,new york,new york,,,,,,,,,
1973,,John Baldessari,1931,national city,california,Santa Monica,California,,,,,,,,,
1977,,john baldessari,1931,national city,california,santa monica,california,,,,,,,,,
1979,,john baldessari,1931,national city,california,santa monica,california,,,,,,,,,
1983,,john baldessari,1931,national city,california,santa monica,california,,,,,,,,,
2008,,John Baldessari,1931,national city,ca,santa monica,California,,,,,,,,,
2014,,Véréna Paravel,1971,Neuchâtel,Switzerland,Boston,MA,and Paris,France,,,,,,,
2000,,William De Lottie,1942,New Britain,Conn.,Eastford,Conn.,,,,,,,,,
2000,,Anthony Discenza Born,1967,New Brunswick,N.J.,Oakland,Calif.,,,,,,,,,
2012,,   Stephen O’Malley,1974,new hampshire,new hampshire,paris,france,,,,,,,,,
1981,,george landow,1944,new haven,connecticut,chicago,illinois,,,,,,,,,
1991,,carroll dunham,1949,new haven,connecticut,new york,new york,,,,,,,,,
2008,,Heather Rowe,1970,new haven,connecticut,new york,new york,,,,,,,,,
1977,,willie walker,1945,new jersey,new jersey,oakland,california,,,,,,,,,
1973,,Edward Clark,1926,new orleans,louisiana,New York,New York,,,,,,,,,
2000,,Katherine Sherwood,1952,New Orleans,louisiana,Rodeo,Calif.,,,,,,,,,
2010,,Rashaad Newsome,1979,New Orleans,Louisiana;,New York,New York,,,,,,,,,
2014,,Jacqueline Humphries,1960,New Orleans,LA,New York,NY,,,,,,,,,
1973,,Adolph Gottlieb,1903,new york,new york,New York,New York,,,,,,,,,
1973,,Al Held,1928,new york,new york,New York,New York,,,,,,,,,
